Ticker,Company,CEO,Year,SEO Pay
PWFL,"PowerFleet, Inc.",Chris Wolfe,2019,"$1,553,541"
CHCO,City Holding Company,Charles Hageboeck,2019,"$1,552,602"
CHUY,"Chuy's Holdings, Inc.",Steve Hislop,2019,"$1,552,463"
WASH,"Washington Trust Bancorp, Inc.",Edward Handy,2019,"$1,552,193"
MNKD,MannKind Corporation,Michael Castagna,2019,"$1,551,765"
KREF,"KKR Real Estate Finance Trust, Inc.",Christen Lee,2019,"$1,548,750"
STRS,"Stratus Properties, Inc.",William Armstrong III,2019,"$1,548,398"
PKBK,"Parke Bancorp, Inc.",Vito Pantilione,2019,"$1,543,092"
NDSN,Nordson Corporation,Sundaram Nagarajan,2019,"$1,523,823"
DMTK,"DermTech, Inc.",John Dobak,2019,"$1,522,869"
ILMN,"Illumina, Inc.",Francis deSouza,2019,"$1,521,949"
GSHD,"Goosehead Insurance, Inc.",Mark Jones,2019,"$1,514,380"
ECOM,Channeladvisor Corporation,David Spitz,2019,"$1,513,891"
GWGH,"GWG Holdings, Inc.",Jon Sabes,2018,"$1,507,149"
PANL,Pangaea Logistics Solutions Ltd.,Edward Coll,2019,"$1,506,125"
CABA,"Cabaletta Bio, Inc.",Steven Nichtberger,2019,"$1,499,000"
DSKE,"Daseke, Inc.",Christopher Easter,2019,"$1,497,178"
PCYG,"Park City Group, Inc.",Randall Fields,2019,"$1,496,406"
SYBT,"Stock Yards Bancorp, Inc.",James Hillebrand,2019,"$1,493,134"
ENZ,"Enzo Biochem, Inc.",Elazar Rabbani,2019,"$1,491,944"
VRS,Verso Corp.,Adam John,2019,"$1,483,115"
MNR,Monmouth Real Estate Investment Corporation,Michael Landy,2019,"$1,483,000"
ALRS,Alerus Financial Corporation,Randy Newman,2019,"$1,480,055"
XOMA,XOMA Corporation,James Neal,2019,"$1,479,559"
TMST,TimkenSteel Corp.,Terry Dunlap,2019,"$1,477,794"
